timestamp,loop,phase,fc,addr,name,op,raw,decoded,expected,result,latency_ms,note
2026-07-16T13:38:37.779,1,READ,1,1032,Preset 2 + Latch + Display,read,0,coil=0,,OK,38.8,
2026-07-16T13:38:37.842,1,READ,1,1033,Preset 3 + Latch + Display,read,0,coil=0,,OK,36.9,
2026-07-16T13:38:37.890,1,READ,1,1034,Preset 4 + Latch + Display,read,0,coil=0,,OK,22.5,
2026-07-16T13:38:37.938,1,READ,1,1035,Preset 5 + Latch + Display,read,0,coil=0,,OK,22.5,
2026-07-16T13:38:37.988,1,READ,1,1036,Preset 6 + Latch + Display,read,0,coil=0,,OK,23.7,
2026-07-16T13:38:38.050,1,READ,1,1037,Preset 7 + Latch + Display,read,0,coil=0,,OK,36.7,
2026-07-16T13:38:38.098,1,READ,1,1038,Preset 8 + Latch + Display,read,0,coil=0,,OK,22.5,
2026-07-16T13:38:38.433,1,WRITE,3,60,Display Number,verify,45,echo,45,OK,22.9,
2026-07-16T13:38:38.562,1,WRITE,3,80,Unlock Delay,verify,250,echo,250,OK,37.2,
2026-07-16T13:38:38.673,1,WRITE,3,110,LED Brightness,verify,50,echo,50,OK,23.7,
2026-07-16T13:38:38.784,1,WRITE,3,111,LED Red,verify,11,echo,11,OK,21.2,
2026-07-16T13:38:38.881,1,WRITE,3,112,LED Green,verify,22,echo,22,OK,23.6,
2026-07-16T13:38:39.011,1,WRITE,3,113,LED Blue,verify,33,echo,33,OK,36.9,
2026-07-16T13:38:39.142,1,WRITE,3,114,LED Max On-Time,verify,1800,echo,1800,OK,42.9,
2026-07-16T13:38:39.682,1,WRITE,1,1001,Enable Preset 1,coil-verify,1,coil=1,1,OK,23.1,
2026-07-16T13:38:39.860,1,WRITE,1,1010,Display Enable,coil-verify,1,coil=1,1,OK,39.3,
2026-07-16T13:38:40.032,1,WRITE,1,1011,Preset 1 + Display,coil-verify,1,coil=1,1,OK,23.4,
2026-07-16T13:38:40.177,1,PRESET,1,1001,Enable Preset 1,check,1,enable 1001 -> coil 1001 reads 1 (ring red),1,OK,0.0,
